category_id	source	title
adult_core	wikidata:Q471839	Back to the Future: The Ride
adult_core	wikidata:Q471839	Back to the Past
adult_core	wikidata:Q471839	Backside to the Future
adult_core	wikidata:Q471839	Backside to the Future II
adult_core	wikidata:Q471839	Bacurau
adult_core	wikidata:Q471839	Bad Channels
adult_core	wikidata:Q471839	Bad Girls from Mars
adult_core	wikidata:Q471839	Baffled!
adult_core	wikidata:Q471839	Bait 3D
adult_core	wikidata:Q471839	Baldr Force EXE
adult_core	wikidata:Q471839	Bang Bang Baby
adult_core	wikidata:Q471839	Banshee Chapter
adult_core	wikidata:Q471839	Baracca e burattini
adult_core	wikidata:Q471839	Barb Wire
adult_core	wikidata:Q471839	Barbarella
adult_core	wikidata:Q471839	Barney In Outer Space
adult_core	wikidata:Q471839	Barrier of the Unknown
adult_core	wikidata:Q471839	Batang X
adult_core	wikidata:Q471839	Batman & Mr. Freeze: SubZero
adult_core	wikidata:Q471839	Batman & Robin
adult_core	wikidata:Q471839	Batman and Superman: Battle of the Super Sons
adult_core	wikidata:Q471839	Batman Beyond: Return of the Joker
adult_core	wikidata:Q471839	Batman Beyond: The Movie
adult_core	wikidata:Q471839	Batman Ninja
adult_core	wikidata:Q471839	Batman Returns
adult_core	wikidata:Q471839	Batman v Superman: Dawn of Justice – Ultimate Edition
adult_core	wikidata:Q471839	Batman: Dead End
adult_core	wikidata:Q471839	Batman: Death in the Family
adult_core	wikidata:Q471839	Batman: Gotham Knight
adult_core	wikidata:Q471839	Batman: Mask of the Phantasm
adult_core	wikidata:Q471839	Batman: Return of the Caped Crusaders
adult_core	wikidata:Q471839	Batman: The Dark Knight Returns
adult_core	wikidata:Q471839	Batman: The Long Halloween
adult_core	wikidata:Q471839	Bats
adult_core	wikidata:Q471839	Batteries Not Included
adult_core	wikidata:Q471839	Battle at Big Rock
adult_core	wikidata:Q471839	Battle Beyond the Stars
adult_core	wikidata:Q471839	Battle Beyond the Sun
adult_core	wikidata:Q471839	Battle for Pandora
adult_core	wikidata:Q471839	Battle for Terra
adult_core	wikidata:Q471839	Battle for the Planet of the Apes
adult_core	wikidata:Q471839	Battle in Outer Space
adult_core	wikidata:Q471839	Battle in Space: The Armada Attacks
adult_core	wikidata:Q471839	Battle of Los Angeles
adult_core	wikidata:Q471839	Battle of the Damned
adult_core	wikidata:Q471839	Battle of the Stars
adult_core	wikidata:Q471839	Battle of the Worlds
adult_core	wikidata:Q471839	Battle Planet
adult_core	wikidata:Q471839	Battle Royale II: Requiem
adult_core	wikidata:Q471839	Battle Star Wars
adult_core	wikidata:Q471839	Battle: Los Angeles
adult_core	wikidata:Q471839	Battlefield Earth
adult_core	wikidata:Q471839	Battleship
adult_core	wikidata:Q471839	Battlestar Galactica: Razor
adult_core	wikidata:Q471839	Battlestar Galactica: The Plan
adult_core	wikidata:Q471839	Battletruck
adult_core	wikidata:Q471839	Be Forever Yamato
adult_core	wikidata:Q471839	Beast from Haunted Cave
adult_core	wikidata:Q471839	Beast Race
adult_core	wikidata:Q471839	Beastmaster 2: Through the Portal of Time
adult_core	wikidata:Q471839	Beastmaster III: The Eye of Braxus
adult_core	wikidata:Q471839	Beavis and Butt-Head Do the Universe
adult_core	wikidata:Q471839	Becoming
adult_core	wikidata:Q471839	Before I Hang
adult_core	wikidata:Q471839	Beginning of the End
adult_core	wikidata:Q471839	Behemoth, the Sea Monster
adult_core	wikidata:Q471839	Bela Lugosi Meets a Brooklyn Gorilla
